id,date,type,content,media_file
462420,2025-10-10T02:20:55+00:00,text,GM,
462428,2025-10-10T02:33:20+00:00,text,早安安,
462429,2025-10-10T02:33:37+00:00,text,起床，打狗。,
462430,2025-10-10T02:34:17+00:00,text,我是狗,
462431,2025-10-10T02:34:23+00:00,text,跌爛了哈哈,
462495,2025-10-10T04:21:45+00:00,text,GM,
462528,2025-10-10T05:17:58+00:00,text,香蕉牛奶早安安,
462569,2025-10-10T06:18:17+00:00,text,你今天買了啥,
462571,2025-10-10T06:18:41+00:00,text,买了奶子人生,
462572,2025-10-10T06:19:02+00:00,text,涨了3万倍，已经财富自由了,
462573,2025-10-10T06:19:46+00:00,text,笑爛🔥,
462575,2025-10-10T06:20:09+00:00,text,Superex 奈子人生买起來,
25745235,2026-01-26T00:34:30+00:00,text,😁,
25745238,2026-01-26T00:34:46+00:00,text,看看皮痒,
25745244,2026-01-26T00:35:40+00:00,text,你别说，我现在就希望他这样,
25745246,2026-01-26T00:36:01+00:00,text,不都76000了吗,
25745249,2026-01-26T00:36:20+00:00,text,你怎么还在77000上方研究,
25745251,2026-01-26T00:36:44+00:00,text,我86900开的仓,
25745256,2026-01-26T00:37:34+00:00,text,空？,
25745257,2026-01-26T00:37:45+00:00,text,不然呢,
25745258,2026-01-26T00:37:47+00:00,text,勇士啊,
25745261,2026-01-26T00:38:04+00:00,text,差点就触发止损了刚才,
25745262,2026-01-26T00:38:21+00:00,text,不然做多你就暴富啦,
25745272,2026-01-26T00:39:33+00:00,text,我40空river，82爆怎么办,
25745274,2026-01-26T00:39:38+00:00,text,短期做空而已,
25745280,2026-01-26T00:40:12+00:00,text,会爆吗，兄弟们,
25745282,2026-01-26T00:40:29+00:00,text,他妈的凌晨给老子爆仓了，老子还在睡觉,
25745287,2026-01-26T00:40:42+00:00,text,原子弹爆了他都不会,
25745290,2026-01-26T00:40:59+00:00,text,拉不到82是吗,
25745296,2026-01-26T00:42:34+00:00,text,会大暴涨不？,
25745297,2026-01-26T00:42:37+00:00,text,已多睡觉,
25745300,2026-01-26T00:42:42+00:00,text,我就是来看看，不敢炒meme了怕归零, 
25745300,2026-01-26T00:42:50+00:00,photo,media/ff8e7c77a2c34b7eb9c98baca05f2c0a.jpg,
25745301,2026-01-26T00:42:51+00:00,text,我之前看到superex有个可以拿meme炒大饼的,
25745304,2026-01-26T00:43:13+00:00,text,??、那是什么骚东西,
25745305,2026-01-26T00:43:22+00:00,text,我也描述不清楚，大概就是这样，然后那样一下，就可以了。,
25745309,2026-01-26T00:43:41+00:00,text,发个链接给爷看下,
25745310,2026-01-26T00:43:47+00:00,text,不敢发，怕被当广告给嘎了,
25745314,2026-01-26T00:44:11+00:00,text,那我直接去搜搜下，superex全币种合约是吧。,
25745315,2026-01-26T00:44:17+00:00,text,最近superex上了全币种合约你知道吗?,
25745316,2026-01-26T00:44:20+00:00,text,很骚的东西，superex可以用下币炒大饼,
25745327,2026-01-26T00:45:54+00:00,text,我全仓开的40u＊20,
25745330,2026-01-26T00:46:17+00:00,text,应该不会爆吧,
25745331,2026-01-26T00:46:28+00:00,text,啊？,
25745332,2026-01-26T00:46:33+00:00,text,都拉多久了,
25745333,2026-01-26T00:46:37+00:00,text,真猛,
25745340,2026-01-26T00:46:57+00:00,text,0.1的币价格，还有一万倍的跌幅空间,
25745345,2026-01-26T00:48:14+00:00,text,甚至十万倍,
25745346,2026-01-26T00:48:27+00:00,text,om就是个典型,
25745347,2026-01-26T00:48:32+00:00,text,一晚上跌100倍以上，居然还活着,
25745350,2026-01-26T00:48:52+00:00,text,应该下架才对,
25745354,2026-01-26T00:49:09+00:00,text,不喊了，不喊了，真的不喊了,
25745358,2026-01-26T00:50:15+00:00,text,为什么river还不跌,
25745360,2026-01-26T00:50:28+00:00,text,这是不喊吗,
25745361,2026-01-26T00:50:34+00:00,text,巩固下人心,
25745365,2026-01-26T00:51:01+00:00,text,大牛来一波,
25745366,2026-01-26T00:51:06+00:00,text,巩固下人心,
25745371,2026-01-26T00:51:29+00:00,text,目前市场极度恐慌,
25745375,2026-01-26T00:52:34+00:00,text,最近几个月，抄底的亏无数次，做空的就亏一次,
25745376,2026-01-26T00:52:37+00:00,text,孙割入场了,
25745382,2026-01-26T00:53:35+00:00,text,孙割入场了,
25745387,2026-01-26T00:53:52+00:00,text,穆穆 私信,
25745388,2026-01-26T00:54:00+00:00,text,1300见,
25745403,2026-01-26T00:55:57+00:00,text,只要你愿意，他就不算高,
25745428,2026-01-26T01:01:36+00:00,text,那不是死定了,
25745429,2026-01-26T01:01:45+00:00,text,可以,
25745430,2026-01-26T01:01:50+00:00,text,空了多少兄弟,
25745432,2026-01-26T01:02:06+00:00,text,赚了多少,
25745438,2026-01-26T01:02:42+00:00,text,不是写着,
25745439,2026-01-26T01:02:48+00:00,text,睡觉,
25745440,2026-01-26T01:03:03+00:00,text,希望起来有惊喜,
25745447,2026-01-26T01:04:30+00:00,text,垃圾币，早点归0。炒金银去了,
25745448,2026-01-26T01:04:33+00:00,text,醒来仓位没了,
25745450,2026-01-26T01:04:38+00:00,text,价格没变,
25745452,2026-01-26T01:05:15+00:00,text,不怕保本止,
25745453,2026-01-26T01:05:21+00:00,text,心态好,
25745454,2026-01-26T01:05:32+00:00,text,挣亏就那样,
25745459,2026-01-26T01:06:56+00:00,text,空了就涨多了就跌玩尼玛,
25745465,2026-01-26T01:07:55+00:00,text,2802止损 手续费也要100,
25745466,2026-01-26T01:07:59+00:00,text,大v天龙,
25745467,2026-01-26T01:08:03+00:00,text,下一次再跌到2780做空就行,
25745469,2026-01-26T01:08:17+00:00,text,如果插针，来不及损，可能损失200,
25745477,2026-01-26T01:09:02+00:00,text,一天做好多单,
25745480,2026-01-26T01:09:30+00:00,text,资费扣了多少了 怎么扛得住的,
